+-----+------------+----------+----+----+----+----+----+----+----+----+----+----+----+
| t1  |     d1     |    z1    | s1 | s2 | s3 | s4 | s5 | s6 | s7 | "" | z2 | b1 | b2 |
| 273 | 2018/7/13  | 9869208  | 13 | 15 | 21 | 23 | 26 | 32 | 34 |    | I  | 5  | 9  |
| 69  | 2014/8/1   | 9902943  | 13 | 17 | 20 | 22 | 28 | 29 | 37 |    | J  | 11 | 12 |
| 99  | 2015/3/6   | 9906732  | 13 | 17 | 22 | 24 | 27 | 28 | 35 |    | C  | 11 | 19 |
| 94  | 2015/1/30  | 9924287  | 13 | 19 | 20 | 27 | 28 | 29 | 30 |    | B  | 26 | 36 |
| 137 | 2015/11/27 | 9925809  | 13 | 19 | 21 | 25 | 27 | 32 | 35 |    | A  | 16 | 20 |
| 433 | 2021/8/20  | 10004855 | 14 | 17 | 20 | 25 | 32 | 33 | 36 |    | E  | 10 | 34 |
| 412 | 2021/3/26  | 10034837 | 14 | 20 | 22 | 29 | 31 | 33 | 34 |    | A  | 15 | 24 |
| 166 | 2016/6/24  | 10037567 | 14 | 20 | 27 | 29 | 30 | 31 | 37 |    | J  | 23 | 34 |
| 256 | 2018/3/16  | 10040769 | 14 | 21 | 24 | 27 | 30 | 33 | 37 |    | E  | 19 | 20 |
| 218 | 2017/6/23  | 10053140 | 15 | 16 | 17 | 21 | 26 | 29 | 30 |    | J  | 10 | 34 |
| 441 | 2021/10/15 | 10112760 | 15 | 21 | 22 | 23 | 27 | 28 | 37 |    | B  | 8  | 25 |
| 321 | 2019/6/14  | 10122773 | 15 | 24 | 27 | 28 | 29 | 34 | 35 |    | F  | 9  | 25 |
| 463 | 2022/3/25  | 4272691  | 16 | 7  | 24 | 19 | 30 | 13 | 3  |    | E  | 10 | 6  |
| 408 | 2021/2/26  | 10141593 | 16 | 18 | 19 | 21 | 29 | 30 | 35 |    | J  | 14 | 28 |
| 343 | 2019/11/15 | 10196260 | 17 | 19 | 22 | 29 | 30 | 31 | 32 |    | E  | 11 | 16 |
| 310 | 2019/3/29  | 10216410 | 17 | 25 | 26 | 28 | 31 | 32 | 37 |    | E  | 6  | 9  |
| 198 | 2017/2/3   | 10237061 | 18 | 21 | 31 | 32 | 33 | 36 | 37 |    | C  | 5  | 25 |
| 407 | 2021/2/19  | 10254407 | 19 | 21 | 25 | 26 | 28 | 30 | 31 |    | A  | 9  | 16 |
| 236 | 2017/10/27 | 10256641 | 19 | 22 | 23 | 34 | 35 | 36 | 37 |    | I  | 10 | 30 |
| 2   | 2013/4/12  | 10274228 | 20 | 24 | 29 | 31 | 33 | 34 | 35 |    | E  | 12 | 32 |
| 468 | 2022/4/29  | 4706189  | 25 | 3  | 29 | 16 | 37 | 15 | 12 |    | G  | 26 | 28 |
| 467 | 2022/4/22  | 7706413  | 26 | 30 | 14 | 13 | 8  | 7  | 11 |    | H  | 31 | 34 |
| 465 | 2022/4/8   | 628085   | 31 | 13 | 4  | 35 | 5  | 1  | 27 |    | B  | 15 | 22 |
+-----+------------+----------+----+----+----+----+----+----+----+----+----+----+----+
